a-3	b-2
a-4	b-3
a-5	b-4
a-6	b-6
a-7	b-7
a-9	b-10
a-11	b-12
a-12	b-13
a-13	b-14
a-14	b-15
a-15	b-17
a-16	b-18
a-17	b-19
a-18	b-20
a-19	b-21
a-20	b-22
a-21	b-23
a-22	b-24
a-23	b-25
a-24	b-26
a-25	b-28
a-26	b-27
a-29	b-31
a-30	b-32
a-31	b-33
a-32	b-34
a-33	b-35
a-35	b-37
a-36	b-38
a-37	b-39
a-39	b-40
a-40	b-41
a-41	b-42
a-42	b-43
a-43	b-44
a-44	b-45
a-45	b-46
a-46	b-48
a-47	b-49
a-49	b-51
a-50	b-52
a-51	b-53
a-52	b-54
a-54	b-56
a-56	b-57
a-57	b-58
a-58	b-59
a-61	b-63
a-62	b-62
a-63	b-64
a-65	b-66
a-66	b-67
a-67	b-68
a-69	b-70
a-71	b-71
a-72	b-72
a-73	b-73
a-74	b-74
a-78	b-78
a-79	b-79
a-80	b-80
a-81	b-81
a-82	b-82
a-83	b-83
a-84	b-84
a-87	b-87
a-89	b-89
a-90	b-90
a-91	b-91
a-92	b-92
a-94	b-94
a-95	b-95
a-96	b-96
a-97	b-97
a-98	b-98
a-99	b-99
a-100	b-100
a-101	b-101
a-102	b-102
a-103	b-103
a-105	b-105
a-109	b-108
a-110	b-109
a-112	b-111
a-113	b-112
a-115	b-114
a-116	b-115
a-117	b-116
a-118	b-117
a-120	b-118
a-121	b-119
a-122	b-120
a-123	b-121
a-125	b-122
a-126	b-123
a-128	b-124
a-129	b-125
a-130	b-126
a-132	b-127
a-133	b-129
a-134	b-130
a-136	b-131
a-137	b-132
a-139	b-134
a-140	b-135
a-141	b-136
a-142	b-139
a-143	b-141
a-144	b-140
a-146	b-143
a-147	b-144
a-149	b-146
a-151	b-148
a-153	b-151
a-156	b-154
a-157	b-155
a-158	b-156
a-160	b-158
a-162	b-160
a-164	b-162
a-166	b-164
a-167	b-165
a-169	b-167
a-170	b-175
a-171	b-168
a-172	b-169
a-173	b-170
a-174	b-171
a-175	b-172
a-176	b-173
a-177	b-174
a-178	b-176
a-180	b-179
a-181	b-178
a-182	b-180
a-184	b-182
a-185	b-183
a-186	b-184
a-187	b-185
a-188	b-187
a-192	b-189
a-194	b-190
a-196	b-192
a-199	b-195
a-200	b-196
a-201	b-197
a-202	b-198
a-203	b-199
a-204	b-200
a-205	b-205
a-207	b-202
a-208	b-203
a-209	b-204
a-210	b-206
a-211	b-207
a-213	b-209
a-216	b-211
a-217	b-212
a-218	b-214
